,horsepower,weight,base price,top speed
911 gt3rs,518,3268,241300,184
911 gt3 touring (M),518,3126,182900,199
911 turbo s,518,3636,230400,205
911 carrera,379,3354,114400,182
911 carrera T (M),379,3254,124900,181
911 carrera T (A),379,3338,124900,181
911 carrera cabriolet,379,3508,127200,180
911 carrera 4,379,3460,121700,180
911 carrera 4 cabriolet,379,3614,134500,179
911 carrera s (M),443,3298,131300,191
911 carrera s (A),443,3382,131300,191
911 carrera s cabriolet (M),443,3452,144100,190
911 carrera s cabriolet (A),443,3537,144100,190
911 carrera 4s (M),443,3402,138600,190
911 carrera 4s (A),443,3487,138600,190
911 carrera 4s cabriolet (M),443,3556,151400,188
911 carrera 4s cabriolet (A),443,3641,151400,188
911 traga 4,379,3658,134500,179
911 traga 4s (M),443,3602,151400,188
911 traga 4s (A),443,3687,151400,188
911 carrera gts (M),473,3349,150900,193
911 carrera gts (A),473,3433,150900,193
911 carrera gts cabriolet (M),473,3501,163700,192
911 carrera gts cabriolet (A),473,3587,163700,192
911 carrera 4 gts (M),473,3452,158200,192
911 carrera 4 gts (A),473,3536,158200,192
911 carrera 4 gts cabriolet (M),473,3605,171000,190
911 carrera 4 gts cabriolet (A),473,3691,171000,190
911 traga 4 gts (M),473,3653,171000,190
911 traga 4 gts (A),473,3737,171000,190
911 edition 50 years porche design (M),473,3653,200700,190
911 edition 50 years porche design (A),473,3737,200700,190
911 turbo,572,3635,197200,199
911 turbo cabriolet,572,3790,210000,199
911 turbo s cabriolet,640,3790,243200,205
911 gt3 (M),502,3126,182900,197
911 gt3 (A),502,3164,182900,197
911 gt3 touring (A),502,3164,182900,199
911 sport classic,543,3468,272300,195
911 dakar,473,3552,222200,149
718 cayman (M),300,3040,68300,170
718 cayman (A),300,3104,68300,170
718 boxster (M),300,3020,70400,170
718 boxster (A),300,3082,70400,170
718 cayman style edition (M),300,3040,74600,170
718 cayman style edition (A),300,3104,74600,170
718 boxster style edition (M),300,3020,76700,170
718 boxster style edition (A),300,3082,76700,170
718 cayman s (M),350,3086,80300,177
718 cayman s (A),350,3150,80300,177
718 boxster s (M),350,3071,82400,177
718 boxster s (A),350,3133,82400,177
718 cayman gts 4.0 (M),394,3166,95200,182
718 cayman gts 4.0 (A),394,3234,95200,182
718 boxster gts 4.0 (M),394,3156,97300,182
718 boxster gts 4.0 (A),394,3224,97300,182
718 cayman gt4 (M),414,3208,106500,189
718 cayman gt4 (A),414,3276,106500,189
718 spyder (M),414,3205,103400,187
718 spyder (A),414,3273,103400,187
718 cayman gt4 rs,493,3227,160700,196
taycan,402,4568,90900,143
taycan 4 cross turismo,469,5029,101900,137
taycan 4s,522,4773,111700,155
taycan 4s cross turismo,562,5033,118200,149
taycan gts,580,5077,139300,155
taycan gts sport turismo,590,5152,141200,155
taycan turbo,670,5119,160800,161
taycan turbo cross turismo,670,5196,163400,155
taycan turbo s,750,5101,194900,161
taycan turbo s cross turismo,750,5199,197500,155
panamera,325,4222,92400,168
panamera platinum edition,325,4222,105100,168
panamera 4,325,4301,97000,167
panamera 4 platinum edition,325,4301,109300,167
panamera 4 executive,325,4449,103700,166
panamera 4 sport turismo,325,4403,103200,164
panamera 4s,443,4336,110900,183
panamera 4s executive,443,4500,122200,183
panamera 4s sport turismo,443,4403,117100,180
panamera 4 e-hybrid,455,4967,109000,174
panamera 4 e-hybrid platinum edition,455,4967,118800,174
panamera 4 e-hybrid executive,455,5084,113500,174
panamera 4 e-hybrid sport turismo,455,5004,113000,174
panamera 4s e-hybrid,552,5004,119200,185
panamera 4s e-hybrid executive,552,5161,130500,185
panamera 4s e-hybrid sport turismo,552,5042,123200,182
panamera gts,473,4561,135200,186
panamera gts sport turismo,473,4601,141400,182
panamera turbo s,620,4691,186400,196
panamera turbo s executive,620,4839,196800,196
panamera turbo s sport turismo,620,4729,190400,196
panamera turbo s e-hybrid,690,5280,196400,196
panamera turbo s e-hybrid executive,690,5412,206800,196
panamera turbo s e-hybrid sport turismo,690,5311,200400,196
macan,261,4151,60900,144
macan t,261,4187,66500,144
macan s,375,4350,72300,160
macan gts,434,4400,86800,169
cayenne,348,4678,79200,154
cayenne e-hybrid,463,5384,91700,158
cayenne s,468,4874,95700,169